w0,w1,w2,w3,a0,a1,a2,a3,b0,b1,b2,b3,direction
64.0,474.0,504.0,294.0,0,1,0,0,0,0,1,1,1
64.0,414.0,504.0,354.0,0,1,0,0,0,0,0,1,1
74.0,4.0,494.0,764.0,0,0,0,0,1,0,0,1,2
124.0,4.0,444.0,764.0,0,0,0,0,1,0,0,0,2
154.0,14.0,414.0,754.0,0,0,0,1,1,1,0,0,3
154.0,144.0,414.0,624.0,0,0,0,1,1,1,0,0,3
154.0,264.0,414.0,504.0,0,0,0,1,0,1,0,0,3
154.0,664.0,414.0,104.0,0,0,0,0,0,1,0,0,3
154.0,674.0,414.0,94.0,0,0,0,0,0,1,0,0,3
144.0,764.0,424.0,4.0,0,0,0,0,0,0,1,0,0
114.0,764.0,454.0,4.0,0,0,0,0,0,0,1,0,0
4.0,754.0,564.0,14.0,0,0,0,0,0,0,1,1,1
4.0,684.0,564.0,84.0,0,0,0,0,0,0,1,1,1
4.0,644.0,564.0,124.0,0,0,0,0,0,0,1,1,1
4.0,514.0,564.0,254.0,0,0,0,0,0,0,0,1,1
4.0,344.0,564.0,424.0,0,0,0,0,0,0,0,1,1
14.0,314.0,554.0,454.0,0,0,1,0,1,0,0,1,2
54.0,314.0,514.0,454.0,0,0,1,0,1,0,0,1,2
94.0,314.0,474.0,454.0,0,0,1,0,1,0,0,0,2
564.0,324.0,4.0,444.0,0,0,0,0,1,1,0,0,3
564.0,694.0,4.0,74.0,0,0,0,0,0,1,0,0,3
554.0,764.0,14.0,4.0,0,0,0,0,0,1,1,0,0
224.0,764.0,344.0,4.0,0,0,0,0,0,0,1,0,0
194.0,754.0,374.0,14.0,0,1,0,0,0,0,1,1,1
204.0,4.0,364.0,764.0,0,0,0,0,1,0,0,0,2
374.0,4.0,194.0,764.0,0,0,0,0,1,0,0,0,2
564.0,14.0,4.0,754.0,0,0,0,0,1,1,0,0,3
564.0,114.0,4.0,654.0,0,0,0,0,1,1,0,0,3
554.0,384.0,14.0,384.0,1,0,0,0,0,1,1,0,0
194.0,384.0,374.0,384.0,1,0,0,0,0,0,1,0,0
124.0,384.0,444.0,384.0,0,0,0,0,0,0,1,0,0
54.0,374.0,514.0,394.0,0,1,0,0,0,0,1,1,1
54.0,304.0,514.0,464.0,0,1,0,0,0,0,0,1,1
54.0,264.0,514.0,504.0,0,0,0,0,0,0,0,1,1
54.0,174.0,514.0,594.0,0,0,0,0,0,0,0,1,1
64.0,4.0,504.0,764.0,0,0,0,0,1,0,0,1,2
74.0,4.0,494.0,764.0,0,0,0,0,1,0,0,1,2
294.0,14.0,274.0,754.0,0,0,0,1,1,1,0,0,3
294.0,284.0,274.0,484.0,0,0,0,1,0,1,0,0,3
294.0,354.0,274.0,414.0,0,0,0,1,0,1,0,0,3
294.0,424.0,274.0,344.0,0,0,0,1,0,1,0,0,3
294.0,704.0,274.0,64.0,0,0,0,0,0,1,0,0,3
284.0,764.0,284.0,4.0,0,0,0,0,0,0,1,0,0
114.0,754.0,454.0,14.0,0,1,0,0,0,0,1,1,1
114.0,644.0,454.0,124.0,0,1,0,0,0,0,1,1,1
114.0,484.0,454.0,284.0,0,1,0,0,0,0,0,1,1
114.0,354.0,454.0,414.0,0,0,0,0,0,0,0,1,1
124.0,4.0,444.0,764.0,0,0,0,0,1,0,0,0,2
224.0,14.0,344.0,754.0,0,0,0,1,1,1,0,0,3
224.0,324.0,344.0,444.0,0,0,0,1,0,1,0,0,3
214.0,764.0,354.0,4.0,0,0,0,0,0,0,1,0,0
204.0,754.0,364.0,14.0,0,1,0,0,0,0,1,1,1
204.0,724.0,364.0,44.0,0,1,0,0,0,0,1,1,1
204.0,694.0,364.0,74.0,0,1,0,0,0,0,1,1,1
204.0,674.0,364.0,94.0,0,1,0,0,0,0,1,1,1
204.0,634.0,364.0,134.0,0,1,0,0,0,0,1,1,1
204.0,584.0,364.0,184.0,0,1,0,0,0,0,1,1,1
194.0,444.0,374.0,324.0,1,0,0,0,0,0,1,0,0
134.0,444.0,434.0,324.0,1,0,0,0,0,0,1,0,0
4.0,434.0,564.0,334.0,0,0,0,0,0,0,0,1,1
